instance,database,test_time,db_name,batch_id,query_id,query_time
dc2.large,redshift,2018-12-06-05:38:13,tpch_3g,1,7,3.971
dc2.large,redshift,2018-12-06-05:38:13,tpch_3g,1,8,3.551
dc2.large,redshift,2018-12-06-05:38:13,tpch_3g,1,9,2.783
dc2.large,redshift,2018-12-06-05:38:13,tpch_3g,1,10,2.409
dc2.large,redshift,2018-12-06-05:38:13,tpch_3g,1,11,4.416
dc2.large,redshift,2018-12-06-05:38:13,tpch_3g,1,12,3.804
dc2.large,redshift,2018-12-06-05:38:13,tpch_3g,1,13,3.124
dc2.large,redshift,2018-12-06-05:38:13,tpch_3g,1,14,1.049
dc2.large,redshift,2018-12-06-05:38:13,tpch_3g,1,15,7.365
dc2.large,redshift,2018-12-06-05:38:13,tpch_3g,1,16,2.726
dc2.large,redshift,2018-12-06-05:38:13,tpch_3g,1,17,6.769
dc2.large,redshift,2018-12-06-05:38:13,tpch_3g,1,18,10.086
dc2.large,redshift,2018-12-06-05:38:13,tpch_3g,1,19,4.132
dc2.large,redshift,2018-12-06-05:38:13,tpch_3g,1,20,7.150
dc2.large,redshift,2018-12-06-05:38:13,tpch_3g,1,21,11.310
dc2.large,redshift,2018-12-06-05:38:13,tpch_3g,1,22,0.744
dc2.large,redshift,2018-12-06-05:40:17,tpch_3g,7,1,5.442
dc2.large,redshift,2018-12-06-05:40:17,tpch_3g,7,2,0.555
dc2.large,redshift,2018-12-06-05:40:17,tpch_3g,7,3,2.136
dc2.large,redshift,2018-12-06-05:40:17,tpch_3g,7,4,3.788
dc2.large,redshift,2018-12-06-05:40:17,tpch_3g,7,5,1.778
dc2.large,redshift,2018-12-06-05:40:17,tpch_3g,7,6,1.410
dc2.large,redshift,2018-12-06-05:40:17,tpch_3g,7,7,4.467
dc2.large,redshift,2018-12-06-05:40:17,tpch_3g,7,8,3.502
dc2.large,redshift,2018-12-06-05:40:17,tpch_3g,7,9,2.788
dc2.large,redshift,2018-12-06-05:40:17,tpch_3g,7,10,2.568
dc2.large,redshift,2018-12-06-05:40:17,tpch_3g,7,11,2.334
dc2.large,redshift,2018-12-06-05:40:17,tpch_3g,7,12,3.872
dc2.large,redshift,2018-12-06-05:40:17,tpch_3g,7,13,2.955
dc2.large,redshift,2018-12-06-05:40:17,tpch_3g,7,14,3.283
dc2.large,redshift,2018-12-06-05:40:17,tpch_3g,7,15,1.216
dc2.large,redshift,2018-12-06-05:40:17,tpch_3g,7,16,0.684
dc2.large,redshift,2018-12-06-05:40:17,tpch_3g,7,17,7.060
dc2.large,redshift,2018-12-06-05:40:17,tpch_3g,7,18,6.111
dc2.large,redshift,2018-12-06-05:40:17,tpch_3g,7,19,1.765
dc2.large,redshift,2018-12-06-05:40:17,tpch_3g,7,20,3.007
dc2.large,redshift,2018-12-06-05:40:17,tpch_3g,7,21,6.993
dc2.large,redshift,2018-12-06-05:40:17,tpch_3g,7,22,0.794
