instance,database,test_time,db_name,batch_id,query_id,query_time
local,postgresql,2018-12-06-11:08:46,tpch_3g,1,13,8.566
local,postgresql,2018-12-06-11:08:46,tpch_3g,1,14,0.905
local,postgresql,2018-12-06-11:08:46,tpch_3g,1,15,4.292
local,postgresql,2018-12-06-11:08:46,tpch_3g,1,16,1.803
local,postgresql,2018-12-06-11:08:46,tpch_3g,1,17,8.506
local,postgresql,2018-12-06-11:08:46,tpch_3g,1,18,10.409
local,postgresql,2018-12-06-11:08:46,tpch_3g,1,19,1.799
local,postgresql,2018-12-06-11:08:46,tpch_3g,1,20,9.388
local,postgresql,2018-12-06-11:08:46,tpch_3g,1,21,4.245
local,postgresql,2018-12-06-11:08:46,tpch_3g,1,22,0.598
local,postgresql,2018-12-06-11:11:11,tpch_3g,3,1,8.183
local,postgresql,2018-12-06-11:11:11,tpch_3g,3,2,2.475
local,postgresql,2018-12-06-11:11:11,tpch_3g,3,3,1.852
local,postgresql,2018-12-06-11:11:11,tpch_3g,3,4,0.773
local,postgresql,2018-12-06-11:11:11,tpch_3g,3,5,1.958
local,postgresql,2018-12-06-11:11:11,tpch_3g,3,6,1.336
local,postgresql,2018-12-06-11:11:11,tpch_3g,3,7,2.092
local,postgresql,2018-12-06-11:11:11,tpch_3g,3,8,2.691
local,postgresql,2018-12-06-11:11:11,tpch_3g,3,9,7.626
local,postgresql,2018-12-06-11:11:11,tpch_3g,3,10,1.885
local,postgresql,2018-12-06-11:11:11,tpch_3g,3,11,0.805
local,postgresql,2018-12-06-11:11:11,tpch_3g,3,12,1.903
local,postgresql,2018-12-06-11:11:11,tpch_3g,3,13,8.357
local,postgresql,2018-12-06-11:11:11,tpch_3g,3,14,0.880
local,postgresql,2018-12-06-11:11:11,tpch_3g,3,15,4.168
local,postgresql,2018-12-06-11:11:11,tpch_3g,3,16,1.831
local,postgresql,2018-12-06-11:11:11,tpch_3g,3,17,15.251
local,postgresql,2018-12-06-11:11:11,tpch_3g,3,18,10.723
local,postgresql,2018-12-06-11:11:11,tpch_3g,3,19,1.898
local,postgresql,2018-12-06-11:11:11,tpch_3g,3,20,18.306
local,postgresql,2018-12-06-11:11:11,tpch_3g,3,21,4.281
local,postgresql,2018-12-06-11:11:11,tpch_3g,3,22,0.610
